N 1 start 4 rank 11 order10 {'order': 10, 'fit': 'unique', 'held_out_failure': {'k': 24, 'actual': '-7252', 'prediction': '5223779402430300/33340011361'}}
N 1 start 8 rank 11 order10 {'order': 10, 'fit': 'unique', 'held_out_failure': {'k': 28, 'actual': '-23812', 'prediction': '-26322441882833080988/1538626644766835'}}
N 1 start 12 rank 11 order10 {'order': 10, 'fit': 'unique', 'held_out_failure': {'k': 32, 'actual': '-91188', 'prediction': '-16565821591505461905600308/483489448026881010401'}}
N 3 start 4 rank 11 order10 {'order': 10, 'fit': 'unique', 'held_out_failure': {'k': 24, 'actual': '-4224', 'prediction': '-687245853627/9420277'}}
N 3 start 8 rank 11 order10 {'order': 10, 'fit': 'unique', 'held_out_failure': {'k': 28, 'actual': '-11248', 'prediction': '-161533958180293168/27373673288715'}}
N 3 start 12 rank 11 order10 {'order': 10, 'fit': 'unique', 'held_out_failure': {'k': 32, 'actual': '-36544', 'prediction': '-367298742710626514740336/78801864171541348937'}}
N 5 start 4 rank 11 order10 {'order': 10, 'fit': 'unique', 'held_out_failure': {'k': 24, 'actual': '-888', 'prediction': '104836470658536/8676553349'}}
N 5 start 8 rank 11 order10 {'order': 10, 'fit': 'unique', 'held_out_failure': {'k': 28, 'actual': '5304', 'prediction': '173591388911433761144/176707614718643'}}
N 5 start 12 rank 11 order10 {'order': 10, 'fit': 'unique', 'held_out_failure': {'k': 32, 'actual': '14424', 'prediction': '41274508797795543130300135672/1373207046202443281009047'}}
